站名,主导类型,类型1得分,类型2得分,类型3得分,类型4得分,类型5得分,类型6得分,类型7得分
太安,7,33.0,10.0,12.0,0.0,2.0,0.0,55.0
民乐,7,0.0,8.0,0.0,0.0,9.0,0.0,30.0
海上世界,3,26.0,0.0,88.0,10.0,73.6,0.0,60.0
国贸站,1,151.0,11.0,88.0,40.0,114.89999999999998,0.0,50.0
水湾,7,21.0,4.0,34.0,20.0,37.599999999999994,0.0,180.0
深康,7,0.0,8.0,0.0,0.0,1.0,0.0,10.0
上水径,7,10.0,0.0,6.0,0.0,20.8,0.0,40.0
老街,3,51.0,4.0,265.0,60.0,111.89999999999999,0.0,80.0
坂田,7,21.0,8.0,29.0,0.0,27.5,0.0,90.0
会展中心站,3,75.0,3.0,158.0,10.0,98.09999999999997,0.0,0.0
五和,7,25.0,12.0,35.0,0.0,37.8,0.0,120.0
竹子林站,5,10.0,0.0,2.0,0.0,41.8,30.0,20.0
塘坑,5,10.0,0.0,25.0,10.0,64.0,0.0,35.0
兴东,5,11.0,4.0,24.0,10.0,98.3,0.0,50.0
泥岗,7,16.0,12.0,31.0,0.0,20.5,0.0,190.0
西丽湖,7,5.0,16.0,48.0,0.0,7.0,0.0,50.0
大学城,3,5.0,7.0,43.0,0.0,40.8,0.0,10.0
清湖,7,30.0,8.0,70.0,0.0,76.8,0.0,80.0
后瑞,7,6.0,4.0,27.0,0.0,28.6,0.0,30.0
碧海湾站,7,15.0,12.0,10.0,20.0,9.8,0.0,50.0
长岭陂,7,5.0,0.0,2.0,0.0,5.6,0.0,30.0
侨城东站,3,10.0,4.0,32.0,0.0,1.5,0.0,30.0
白石洲,7,5.0,12.0,20.0,0.0,9.0,0.0,65.0
晒布,7,31.0,11.0,82.0,0.0,46.1,0.0,185.0
向西村,7,79.0,20.0,30.0,0.0,55.1,0.0,210.0
香梅,7,5.0,12.0,0.0,0.0,25.6,0.0,60.0
临海,1,15.0,12.0,3.0,0.0,3.0,0.0,10.0
百鸽笼,3,5.0,4.0,84.0,0.0,25.6,0.0,5.0
湖贝,7,70.0,8.0,15.0,10.0,74.8,0.0,185.0
益田,7,27.0,20.0,23.0,30.0,1.5,0.0,55.0
机场东,7,0.0,0.0,0.0,0.0,1.0,0.0,10.0
鲤鱼门,5,0.0,8.0,2.0,0.0,34.6,0.0,0.0
水贝,5,5.0,11.0,45.0,20.0,65.89999999999999,0.0,55.0
东角头,7,87.0,12.0,19.0,0.0,25.0,0.0,140.0
福田,5,5.0,4.0,5.0,0.0,107.19999999999996,0.0,0.0
马鞍山,7,11.0,0.0,46.0,0.0,24.0,0.0,80.0
宝体,7,25.0,4.0,15.0,0.0,16.0,0.0,30.0
少年宫,3,5.0,0.0,25.0,0.0,1.0,0.0,0.0
深云,7,0.0,12.0,0.0,0.0,5.5,0.0,20.0
蛇口港,5,0.0,8.0,2.0,20.0,27.0,0.0,25.0
香蜜,7,6.0,8.0,2.0,0.0,0.0,0.0,90.0
湾厦,7,35.0,4.0,25.0,0.0,5.5,0.0,80.0
莲花西,1,54.0,11.0,33.0,0.0,18.9,0.0,40.0
桃源村,7,25.0,16.0,16.0,10.0,4.5,0.0,70.0
深圳湾公园,3,0.0,0.0,17.0,0.0,3.0,0.0,0.0
高新园,1,147.0,20.0,36.0,0.0,86.29999999999998,0.0,10.0
宝安中心,3,15.0,8.0,88.0,0.0,17.6,0.0,25.0
龙井,7,0.0,8.0,0.0,0.0,17.5,0.0,30.0
珠光,7,15.0,0.0,3.0,0.0,0.0,0.0,50.0
大运,7,0.0,7.0,6.0,0.0,19.900000000000002,0.0,25.0
下沙,7,40.0,19.0,55.0,30.0,64.6,0.0,80.0
皇岗村,7,20.0,4.0,57.0,0.0,15.6,0.0,155.0
后海,5,30.0,3.0,28.0,10.0,89.1,0.0,0.0
燕南,7,10.0,37.0,37.0,10.0,103.3,0.0,165.0
机场站,6,0.0,0.0,41.0,30.0,16.5,280.0,0.0
笋岗,3,48.0,0.0,108.0,30.0,68.1,0.0,95.0
莲花北,7,0.0,4.0,3.0,10.0,4.0,0.0,80.0
龙胜,7,11.0,0.0,10.0,10.0,9.0,0.0,55.0
皇岗口岸,6,6.0,4.0,0.0,0.0,12.0,30.0,20.0
黄木岗,1,77.0,11.0,10.0,20.0,22.5,0.0,0.0
八卦岭,5,0.0,3.0,11.0,10.0,85.6,0.0,40.0
香梅北,7,21.0,8.0,13.0,0.0,6.8,0.0,80.0
茶光,7,10.0,12.0,12.0,0.0,26.3,0.0,105.0
红树湾,7,10.0,8.0,16.0,0.0,22.8,0.0,35.0
华强北,3,30.0,0.0,586.0,40.0,59.3,0.0,85.0
人民南,1,101.0,16.0,60.0,10.0,79.8,0.0,100.0
购物公园,3,20.0,4.0,108.0,20.0,99.69999999999996,100.0,15.0
华强南,7,127.0,11.0,66.0,0.0,33.0,0.0,160.0
科苑,5,10.0,20.0,9.0,0.0,44.3,0.0,35.0
深圳北站,6,0.0,0.0,64.0,10.0,27.0,3150.0,5.0
香蜜湖站,4,0.0,0.0,0.0,10.0,9.0,0.0,10.0
深圳北,6,0.0,0.0,64.0,10.0,27.0,3150.0,5.0
